Policy_exist,Education_level,Trust_Musis_Recommendation,Trust_Echo,Trust_Work_Eval,Trust_Finance,Trust_Car,Trust_Medical,Adoption_personal,Adoption_Home,Adoption_Workplace,Adoption_School,Adoption_Government,Adoption_Business,Concern_Privacy,Concern_Safety,Concern_Discrimination,Concern_Injustice,Concern_Job,Concern_Long_Term_Social
0,2,3,2,3,4,4,4,4,4,3,4,4,4,5,3,2,2,2,3
1,2,5,4,3,5,5,5,4,4,4,4,5,5,3,2,2,2,1,2
0,2,4,2,3,2,2,3,3,3,4,5,4,4,3,3,2,2,5,3
1,2,4,3,3,4,3,3,4,4,4,5,5,5,3,3,1,2,4,1
0,2,1,2,1,2,2,3,3,2,3,3,2,3,5,5,5,5,3,3
1,2,4,4,3,4,4,4,4,4,4,4,4,5,5,5,2,2,1,2
0,2,3,4,2,4,2,2,4,3,3,3,2,2,4,4,4,4,2,2
1,2,3,4,2,4,3,2,4,3,3,4,2,2,4,4,4,4,2,3
0,2,2,1,1,1,1,1,1,1,2,2,2,2,5,5,4,4,5,4
1,2,4,4,4,5,5,3,4,4,4,4,4,4,2,2,1,2,1,2
0,2,4,2,1,3,5,3,4,3,4,5,3,4,4,2,4,4,1,2
0,3,4,3,3,4,4,2,4,4,4,3,3,4,3,2,4,3,2,3
1,3,4,4,4,3,5,4,3,4,4,5,3,4,3,2,3,2,2,3
0,3,4,1,2,4,3,4,4,1,4,4,4,4,5,5,4,5,4,5
1,3,5,3,4,5,4,5,2,1,4,5,5,5,4,3,4,4,4,4
0,3,3,2,1,1,4,3,4,1,2,4,3,4,5,4,4,4,5,3
1,3,3,3,2,4,4,2,4,4,4,4,4,4,3,2,2,2,2,2
0,3,4,5,3,4,2,3,4,4,5,5,5,5,4,3,1,3,2,2
1,3,4,4,2,3,2,4,3,2,3,3,3,3,5,5,3,3,4,3
1,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,5,3
0,4,1,1,1,1,1,1,4,3,3,5,3,2,5,5,5,3,1,3
1,4,1,1,1,1,1,1,3,3,3,5,3,3,3,3,3,3,3,3
0,4,3,1,2,1,2,2,3,3,4,5,2,3,4,4,3,4,4,3
1,4,4,2,3,3,5,3,4,4,4,5,3,3,3,2,2,3,4,2
0,4,2,2,1,1,1,2,4,2,1,1,1,4,3,4,4,4,2,4
1,4,2,2,1,4,4,3,4,4,4,2,3,4,3,4,3,4,3,2
1,4,5,2,3,4,5,4,4,2,4,4,4,5,3,2,2,2,3,3
1,4,1,1,1,1,1,1,3,2,4,2,3,4,5,5,4,4,1,2
1,4,5,1,1,1,2,1,1,1,1,5,1,1,5,5,5,5,5,5
